"id","difficulty","question","answer","reference","category"
"4106","Hard","Who was the Mongol leader who conquered China?","Kublai Khan","","world_history"
"4107","Hard","What was the name of the plague that struck Europe in 1347?","Bubonic Plague","","world_history"
"4108","Hard","Which explorer was the first to reach the South Pole?","Roald Amundsen","","world_history"
"4109","Hard","What was the name of the treaty that ended the Crimean War?","Treaty of Paris","","world_history"
"4110","Hard","Who was the leader of the Taiping Rebellion?","Hong Xiuquan","","world_history"
"4111","Hard","What was the name of the ship that exploded in Havana, sparking the Spanish-American War?","USS Maine","","world_history"
"4112","Hard","Which conference divided Africa among European powers?","Berlin Conference","","world_history"
"4113","Hard","What was the name of the assassination that started World War I?","Assassination of Archduke Franz Ferdinand","","world_history"
"4114","Hard","Who was the British prime minister during most of World War II?","Winston Churchill","","world_history"
"4115","Hard","What was the name of the operation to evacuate Dunkirk?","Operation Dynamo","","world_history"
"4116","Hard","Which battle was the turning point in the Pacific during WWII?","Battle of Midway","","world_history"
"4117","Hard","What was the name of the plan to rebuild Europe after WWII?","Marshall Plan","","world_history"
"4118","Hard","Who was the first Secretary-General of the United Nations?","Trygve Lie","","world_history"
"4119","Hard","What was the name of the war between China and Japan in 1894?","First Sino-Japanese War","","world_history"
"4120","Hard","Which treaty ended the Russo-Japanese War?","Treaty of Portsmouth","","world_history"
"4121","Easy","Who was the famous conqueror known as the Scourge of God?","Attila the Hun","","world_history"
"4122","Easy","What was the name of the ancient Roman arena?","Colosseum","","world_history"
"4123","Easy","Which philosopher was the teacher of Plato?","Socrates","","world_history"
"4124","Easy","What was the name of the ancient Persian capital?","Persepolis","","world_history"
"4125","Easy","Who was the famous African queen who fought Rome?","Amanirenas","","world_history"
"4126","Easy","What was the name of the war between Troy and Greece?","Trojan War","","world_history"
"4127","Easy","Which artist painted the Sistine Chapel ceiling?","Michelangelo","","world_history"
"4128","Easy","Who was the leader of the Spanish Inquisition?","Tomás de Torquemada","","world_history"
"4129","Easy","What was the name of the battle in 732 that stopped Muslim advance in Europe?","Battle of Tours","","world_history"
"4130","Easy","Which navigator discovered the Pacific Ocean?","Vasco Núñez de Balboa","","world_history"
"4131","Easy","What was the name of the Maya city-state?","Tikal","","world_history"
"4132","Easy","Who was the famous king during the Black Death?","Edward III","","world_history"
"4133","Easy","What was the name of the period of Japanese isolation?","Sakoku","","world_history"
"4134","Easy","Which country was ruled by Peter the Great?","Russia","","world_history"
"4135","Easy","What was the name of the famous buccaneer Henry Morgan?","Henry Morgan","","world_history"
"4136","Easy","Who was the famous composer during the Classical period?","Wolfgang Amadeus Mozart","","world_history"
"4137","Easy","What was the name of the congress that redrew Europe after Napoleon?","Congress of Vienna","","world_history"
"4138","Easy","Which country was the setting for the Boxer Rebellion?","China","","world_history"
"4139","Easy","Who was the famous suffragette in Britain?","Emmeline Pankhurst","","world_history"
"4140","Easy","What was the name of the revolution in Cuba in 1959?","Cuban Revolution","","world_history"
"4141","Hard","What was the name of the ancient Assyrian king who built a library?","Ashurbanipal","","world_history"
"4142","Hard","Who was the Greek king who built the Pharos lighthouse?","Ptolemy II","","world_history"
"4143","Hard","What was the name of the battle where Octavian defeated Mark Antony?","Battle of Actium","","world_history"
"4144","Hard","Which Byzantine emperor reconquered Italy?","Justinian I","","world_history"
"4145","Hard","What was the name of the Norse saga that describes America?","Saga of the Greenlanders","","world_history"
"4146","Hard","Who was the Chinese admiral who sailed to Africa?","Zheng He","","world_history"
"4147","Hard","What was the name of the tax that caused the Peasants' Revolt in England?","Poll Tax","","world_history"
"4148","Hard","Which explorer was the first to reach Antarctica?","Fabian Gottlieb von Bellingshausen","","world_history"
"4149","Hard","What was the name of the alliance during the Crimean War?","Ottoman, British, French","","world_history"
"4150","Hard","Who was the leader of the Red Shirts in Italy?","Giuseppe Garibaldi","","world_history"
"4151","Hard","What was the name of the conference that partitioned Africa?","Berlin Conference","","world_history"
"4152","Hard","Which battle was the first use of tanks?","Battle of the Somme","","world_history"
"4153","Hard","Who was the Austrian chancellor during the 1848 revolutions?","Klemens von Metternich","","world_history"
"4154","Hard","What was the name of the operation to assassinate Hitler?","Operation Valkyrie","","world_history"
"4155","Hard","Which battle was the largest tank battle in history?","Battle of Kursk","","world_history"
"4156","Hard","What was the name of the agreement that divided Germany?","Yalta Conference","","world_history"
"4157","Hard","Who was the first president of the European Commission?","Walter Hallstein","","world_history"
"4158","Hard","What was the name of the war between Japan and Russia in 1904?","Russo-Japanese War","","world_history"
"4159","Hard","Which treaty ended the First Opium War?","Treaty of Nanking","","world_history"
"4160","Hard","Who was the leader of the Khmer Rouge?","Pol Pot","","world_history"
"4161","Easy","Who was the famous warrior queen of Britain?","Boudica","","world_history"
"4162","Easy","What was the name of the ancient Greek theater?","Theatre of Dionysus","","world_history"
"4163","Easy","Which philosopher founded Taoism?","Laozi","","world_history"
"4164","Easy","What was the name of the ancient Hittite capital?","Hattusa","","world_history"
"4165","Easy","Who was the famous pharaoh who was a woman?","Hatshepsut","","world_history"
"4166","Easy","What was the name of the battle between Greeks and Persians at a pass?","Battle of Thermopylae","","world_history"
"4167","Easy","Which artist painted the Last Supper?","Leonardo da Vinci","","world_history"
"4168","Easy","Who was the leader of the Jesuits?","Ignatius of Loyola","","world_history"
"4169","Easy","What was the name of the crusade that captured Jerusalem?","First Crusade","","world_history"
"4170","Easy","Which navigator discovered Brazil?","Pedro Álvares Cabral","","world_history"
"4171","Easy","What was the name of the Aztec capital?","Tenochtitlan","","world_history"
"4172","Easy","Who was the famous king during the Renaissance in France?","Francis I","","world_history"
"4173","Easy","What was the name of the period of Russian history under Ivan the Terrible?","Time of Troubles","","world_history"
"4174","Easy","Which country was ruled by Maria Theresa?","Austria","","world_history"
"4175","Easy","What was the name of the famous admiral Horatio Nelson?","Horatio Nelson","","world_history"
"4176","Easy","Who was the famous composer during the Romantic period?","Ludwig van Beethoven","","world_history"
"4177","Easy","What was the name of the revolution in France in 1848?","February Revolution","","world_history"
"4178","Easy","Which country was the setting for the Taiping Rebellion?","China","","world_history"
"4179","Easy","Who was the famous chartist in Britain?","Feargus O'Connor","","world_history"
"4180","Easy","What was the name of the revolution in Hungary in 1956?","Hungarian Revolution","","world_history"
"4181","Hard","What was the name of the ancient Minoan palace?","Knossos","","world_history"
"4182","Hard","Who was the Babylonian king who conquered Jerusalem?","Nebuchadnezzar II","","world_history"
"4183","Hard","What was the name of the battle where Julius Caesar crossed the Rubicon?","Civil War start","","world_history"
"4184","Hard","Which Ottoman sultan conquered Constantinople?","Mehmed II","","world_history"
"4185","Hard","What was the name of the treaty that ended the Hundred Years' War?","Treaty of Picquigny","","world_history"
"4186","Hard","Who was the Japanese shogun who unified Japan?","Tokugawa Ieyasu","","world_history"
"4187","Hard","What was the name of the tax revolt in France before the Revolution?","Day of Tiles","","world_history"
"4188","Hard","Which explorer was the first to circumnavigate Australia?","Matthew Flinders","","world_history"
"4189","Hard","What was the name of the alliance during the Seven Years' War?","Anglo-Prussian alliance","","world_history"
"4190","Hard","Who was the leader of the Boxer Rebellion?","Empress Dowager Cixi","","world_history"
"4191","Hard","What was the name of the first Zionist congress?","Basel Congress","","world_history"
"4192","Hard","Which battle was the first major engagement of World War I?","Battle of the Marne","","world_history"
"4193","Hard","Who was the Italian prime minister during unification?","Camillo Benso, Count of Cavour","","world_history"
"4194","Hard","What was the name of the plot to kill Hitler in 1944?","20 July Plot","","world_history"
"4195","Hard","Which battle was the largest naval battle in history?","Battle of Leyte Gulf","","world_history"
"4196","Hard","What was the name of the conference that established the United Nations?","San Francisco Conference","","world_history"
"4197","Hard","Who was the first chancellor of West Germany?","Konrad Adenauer","","world_history"
"4198","Hard","What was the name of the war between Britain and China in 1839?","First Opium War","","world_history"
"4199","Hard","Which treaty ended the War of the Austrian Succession?","Treaty of Aix-la-Chapelle","","world_history"
"4200","Hard","Who was the leader of the Sandinistas?","Daniel Ortega","","world_history"
"4201","Easy","Who was the famous emperor known as the Lionheart?","Richard I","","world_history"
"4202","Easy","What was the name of the ancient Egyptian temple?","Karnak","","world_history"
"4203","Easy","Which philosopher founded Confucianism?","Confucius","","world_history"
"4204","Easy","What was the name of the ancient Phoenician city?","Carthage","","world_history"
"4205","Easy","Who was the famous pharaoh who built Abu Simbel?","Ramesses II","","world_history"
"4206","Easy","What was the name of the battle between Alexander and Porus?","Battle of the Hydaspes","","world_history"
"4207","Easy","Which artist sculpted David?","Michelangelo","","world_history"
"4208","Easy","Who was the leader of the Counter-Reformation?","Pope Paul III","","world_history"
"4209","Easy","What was the name of the crusade led by Richard the Lionheart?","Third Crusade","","world_history"
"4210","Easy","Which navigator discovered Newfoundland?","John Cabot","","world_history"
"4211","Easy","What was the name of the Olmec colossal heads?","Colossal Heads","","world_history"
"4212","Easy","Who was the famous king during the Age of Exploration?","Henry VIII","","world_history"
"4213","Easy","What was the name of the period of Ottoman decline?","Sick Man of Europe","","world_history"
"4214","Easy","Which country was ruled by Frederick the Great?","Prussia","","world_history"
"4215","Easy","What was the name of the famous corsair Barbarossa?","Hayreddin Barbarossa","","world_history"
"4216","Easy","Who was the famous composer during the Renaissance?","Claudio Monteverdi","","world_history"
"4217","Easy","What was the name of the revolution in America in 1776?","American Revolution","","world_history"
"4218","Easy","Which country was the setting for the Sepoy Mutiny?","India","","world_history"
"4219","Easy","Who was the famous explorer James Cook?","James Cook","","world_history"
"4220","Easy","What was the name of the revolution in Czechoslovakia in 1989?","Velvet Revolution","","world_history"
"4221","Hard","What was the name of the ancient Etruscan city?","Veii","","world_history"
"4222","Hard","Who was the Egyptian queen who allied with Antony?","Cleopatra","","world_history"
"4223","Hard","What was the name of the battle where Constantine saw the cross?","Battle of the Milvian Bridge","","world_history"
"4224","Hard","Which Holy Roman emperor was crowned by the Pope?","Charlemagne","","world_history"
"4225","Hard","What was the name of the treaty that ended the Investiture Controversy?","Concordat of Worms","","world_history"
"4226","Hard","Who was the African king who built rock churches?","Lalibela","","world_history"
"4227","Hard","What was the name of the English civil war in the 15th century?","Wars of the Roses","","world_history"
"4228","Hard","Which explorer was the first to reach India by sea?","Vasco da Gama","","world_history"
"4229","Hard","What was the name of the alliance during the Napoleonic Wars?","Seventh Coalition","","world_history"
"4230","Hard","Who was the leader of the Zulu nation?","Shaka Zulu","","world_history"
"4231","Hard","What was the name of the first international organization?","League of Nations","","world_history"
"4232","Hard","Which battle was the first use of poison gas?","Second Battle of Ypres","","world_history"
"4233","Hard","Who was the German chancellor during unification?","Otto von Bismarck","","world_history"
"4234","Hard","What was the name of the operation to liberate Paris?","Operation Overlord","","world_history"
"4235","Hard","Which battle was the longest in WWII?","Battle of the Atlantic","","world_history"
"4236","Hard","What was the name of the agreement that ended WWII in Europe?","Instrument of Surrender","","world_history"
"4237","Hard","Who was the first prime minister of India?","Jawaharlal Nehru","","world_history"
"4238","Hard","What was the name of the war between Britain and the Boers?","Second Boer War","","world_history"
"4239","Hard","Which treaty ended the Seven Years' War?","Treaty of Paris","","world_history"
"4240","Hard","Who was the leader of the African National Congress?","Nelson Mandela","","world_history"
"4241","Easy","Who was the famous knight known as El Cid?","El Cid","","world_history"
"4242","Easy","What was the name of the ancient Babylonian gardens?","Hanging Gardens","","world_history"
"4243","Easy","Which philosopher wrote 'The Prince'?","Niccolò Machiavelli","","world_history"
"4244","Easy","What was the name of the ancient Assyrian capital?","Nineveh","","world_history"
"4245","Easy","Who was the famous pharaoh who unified Egypt?","Menes","","world_history"
"4246","Easy","What was the name of the battle between Romans and Carthaginians at sea?","Battle of Cape Ecnomus","","world_history"
"4247","Easy","Which artist painted the Creation of Adam?","Michelangelo","","world_history"
"4248","Easy","Who was the leader of the Huguenots?","Henry IV","","world_history"
"4249","Easy","What was the name of the crusade that sacked Constantinople?","Fourth Crusade","","world_history"
"4250","Easy","Which navigator discovered the Strait of Magellan?","Ferdinand Magellan","","world_history"
"4251","Hard","What was the name of the ancient Mycenaean citadel?","Mycenae","","world_history"
"4252","Hard","Who was the Hittite king who fought Ramesses II?","Muwatalli II","","world_history"
"4253","Hard","What was the name of the battle where Mark Antony was defeated?","Battle of Actium","","world_history"
"4254","Hard","Which emperor divided the Roman Empire?","Diocletian","","world_history"
"4255","Hard","What was the name of the treaty that ended the Mongol invasions of Japan?","None (storms)","","world_history"
"4256","Hard","Who was the Mali emperor known for his wealth?","Mansa Musa","","world_history"
"4257","Hard","What was the name of the French wars of religion?","French Wars of Religion","","world_history"
"4258","Hard","Which explorer was the first to reach the North Pole?","Robert Peary","","world_history"
"4259","Hard","What was the name of the alliance during the Peloponnesian War?","Delian League","","world_history"
"4260","Hard","Who was the leader of the White Lotus Rebellion?","Wang Lun","","world_history"
"4261","Easy","Who was the famous sultan known as the Magnificent?","Suleiman the Magnificent","","world_history"
"4262","Easy","What was the name of the ancient Greek oracle?","Oracle of Delphi","","world_history"
"4263","Easy","Which philosopher founded Stoicism?","Zeno of Citium","","world_history"
"4264","Easy","What was the name of the ancient Celtic festival?","Samhain","","world_history"
"4265","Easy","Who was the famous queen who married Ferdinand?","Isabella I","","world_history"
"4266","Easy","What was the name of the battle between Napoleon and Wellington?","Battle of Waterloo","","world_history"
"4267","Easy","Which artist sculpted the Pietà?","Michelangelo","","world_history"
"4268","Easy","Who was the leader of the Roundheads?","Oliver Cromwell","","world_history"
"4269","Easy","What was the name of the crusade that failed miserably?","Children's Crusade","","world_history"
"4270","Easy","Which navigator discovered Hawaii?","James Cook","","world_history"
"4271","Hard","What was the name of the ancient Indus Valley city?","Mohenjo-Daro","","world_history"
"4272","Hard","Who was the Chaldean king who rebuilt Babylon?","Nebuchadnezzar II","","world_history"
"4273","Hard","What was the name of the battle where the Romans defeated Hannibal?","Battle of Zama","","world_history"
"4274","Hard","Which emperor built the Theodosian Walls?","Theodosius II","","world_history"
"4275","Hard","What was the name of the treaty that ended the Crusades?","Treaty of Jaffa","","world_history"
"4276","Hard","Who was the Songhai emperor known for his pilgrimage?","Askia Muhammad","","world_history"
"4277","Hard","What was the name of the English civil war in the 17th century?","English Civil War","","world_history"
"4278","Hard","Which explorer was the first to reach the East Indies?","Vasco da Gama","","world_history"
"4279","Hard","What was the name of the alliance during the War of the Spanish Succession?","Grand Alliance","","world_history"
"4280","Hard","Who was the leader of the Mau Mau Rebellion?","Jomo Kenyatta","","world_history"
"4281","Easy","Who was the famous emperor known as the Terrible?","Ivan the Terrible","","world_history"
"4282","Easy","What was the name of the ancient Roman forum?","Roman Forum","","world_history"
"4283","Easy","Which philosopher wrote 'Meditations'?","Marcus Aurelius","","world_history"
"4284","Easy","What was the name of the ancient Viking longship?","Longship","","world_history"
"4285","Easy","Who was the famous pharaoh who was young?","Tutankhamun","","world_history"
"4286","Easy","What was the name of the battle between Persians and Greeks at sea?","Battle of Salamis","","world_history"
"4287","Easy","Which artist painted the School of Athens?","Raphael","","world_history"
"4288","Easy","Who was the leader of the Jacobins?","Maximilien Robespierre","","world_history"
"4289","Easy","What was the name of the crusade that was diverted to Egypt?","Fifth Crusade","","world_history"
"4290","Easy","Which navigator discovered the Galapagos?","Tomás de Berlanga","","world_history"
"4291","Hard","What was the name of the ancient Olmec city?","San Lorenzo","","world_history"
"4292","Hard","Who was the Lydian king known for his wealth?","Croesus","","world_history"
"4293","Hard","What was the name of the battle where the Romans lost to the Goths?","Battle of Adrianople","","world_history"
"4294","Hard","Which caliph conquered Persia?","Umar","","world_history"
"4295","Hard","What was the name of the treaty that ended the War of the Roses?","None (marriage)","","world_history"
"4296","Hard","Who was the Inca emperor captured by Pizarro?","Atahualpa","","world_history"
"4297","Hard","What was the name of the Scottish wars of independence?","Wars of Scottish Independence","","world_history"
"4298","Hard","Which explorer was the first to reach the Cape of Good Hope?","Bartolomeu Dias","","world_history"
"4299","Hard","What was the name of the alliance during the Seven Years' War?","Anglo-Prussian","","world_history"
"4300","Hard","Who was the leader of the Irish Easter Rising?","Patrick Pearse","","world_history"
"4301","Easy","Who was the famous khan known as the Great?","Kublai Khan","","world_history"
"4302","Easy","What was the name of the ancient Chinese wall?","Great Wall of China","","world_history"
"4303","Easy","Which philosopher founded Epicureanism?","Epicurus","","world_history"
"4304","Easy","What was the name of the ancient Mongol capital?","Karakorum","","world_history"
"4305","Easy","Who was the famous queen who was executed?","Marie Antoinette","","world_history"
"4306","Easy","What was the name of the battle between the British and Zulu?","Battle of Isandlwana","","world_history"
"4307","Easy","Which artist painted the Starry Night?","Vincent van Gogh","","world_history"
"4308","Easy","Who was the leader of the Bolsheviks?","Vladimir Lenin","","world_history"
"4309","Easy","What was the name of the crusade that was led by children?","Children's Crusade","","world_history"
"4310","Easy","Which navigator discovered Australia?","James Cook","","world_history"
"4311","Hard","What was the name of the ancient Harappan city?","Harappa","","world_history"
"4312","Hard","Who was the Scythian king who fought Alexander?","None (avoided)","","world_history"
"4313","Hard","What was the name of the battle where the Byzantines lost to the Seljuks?","Battle of Manzikert","","world_history"
"4314","Hard","Which sultan built the Blue Mosque?","Ahmed I","","world_history"
"4315","Hard","What was the name of the treaty that ended the English Civil War?","None (execution)","","world_history"
"4316","Hard","Who was the Aztec god of war?","Huitzilopochtli","","world_history"
"4317","Hard","What was the name of the Dutch wars of independence?","Eighty Years' War","","world_history"
"4318","Hard","Which explorer was the first to reach the South Pole?","Roald Amundsen","","world_history"
"4319","Hard","What was the name of the alliance during the Thirty Years' War?","Protestant Union","","world_history"
"4320","Hard","Who was the leader of the Algerian War of Independence?","Ahmed Ben Bella","","world_history"
"4321","Easy","Who was the famous tsar known as the Great?","Peter the Great","","world_history"
"4322","Easy","What was the name of the ancient Persian road?","Royal Road","","world_history"
"4323","Easy","Which philosopher wrote 'Thus Spoke Zarathustra'?","Friedrich Nietzsche","","world_history"
"4324","Easy","What was the name of the ancient Samurai code?","Bushido","","world_history"
"4325","Easy","Who was the famous emperor who built the Colosseum?","Vespasian","","world_history"
"4326","Easy","What was the name of the battle between the French and English at Agincourt?","Battle of Agincourt","","world_history"
"4327","Easy","Which artist painted Guernica?","Pablo Picasso","","world_history"
"4328","Easy","Who was the leader of the Nazis?","Adolf Hitler","","world_history"
"4329","Easy","What was the name of the crusade that was the last?","Ninth Crusade","","world_history"
"4330","Easy","Which navigator discovered the Americas for Spain?","Christopher Columbus","","world_history"
"4331","Hard","What was the name of the ancient Shang capital?","Anyang","","world_history"
"4332","Hard","Who was the Parthian king who fought Rome?","Orodes II","","world_history"
"4333","Hard","What was the name of the battle where the Ottomans defeated the Byzantines?","Fall of Constantinople","","world_history"
"4334","Hard","Which khan conquered Baghdad?","Hulagu Khan","","world_history"
"4335","Hard","What was the name of the treaty that ended the Reconquista?","Treaty of Granada","","world_history"
"4336","Hard","Who was the Maya king of Palenque?","Pakal the Great","","world_history"
"4337","Hard","What was the name of the Polish-Lithuanian union?","Union of Lublin","","world_history"
"4338","Hard","Which explorer was the first to reach the Arctic?","Robert Peary","","world_history"
"4339","Hard","What was the name of the alliance during the Crimean War?","Allied Powers","","world_history"
"4340","Hard","Who was the leader of the Indonesian independence?","Sukarno","","world_history"
"4341","Easy","Who was the famous caliph known as the Wise?","Harun al-Rashid","","world_history"
"4342","Easy","What was the name of the ancient Indian epic?","Mahabharata","","world_history"
"4343","Easy","Which philosopher founded Skepticism?","Pyrrho","","world_history"
"4344","Easy","What was the name of the ancient Maori settlement?","Pa","","world_history"
"4345","Easy","Who was the famous sultan who conquered Constantinople?","Mehmed II","","world_history"
"4346","Easy","What was the name of the battle between the Russians and Japanese?","Battle of Tsushima","","world_history"
"4347","Easy","Which artist painted the Persistence of Memory?","Salvador Dali","","world_history"
"4348","Easy","Who was the leader of the Fascists?","Benito Mussolini","","world_history"
